k;n;test_size;accuracy;precision_macro;precision_micro;recall_macro;recall_micro;f1_macro;f1_micro
13;4;0.1;0.70;0.70;0.70;0.70;0.70;0.70;0.70
14;1;0.1;0.71;0.72;0.71;0.72;0.71;0.72;0.71
14;1.5;0.1;0.72;0.71;0.72;0.73;0.72;0.72;0.72
14;2;0.1;0.70;0.69;0.70;0.70;0.70;0.69;0.70
14;3;0.1;0.69;0.69;0.69;0.70;0.69;0.69;0.69
14;4;0.1;0.70;0.69;0.70;0.70;0.70;0.70;0.70
15;1;0.1;0.70;0.70;0.70;0.70;0.70;0.70;0.70
15;1.5;0.1;0.72;0.71;0.72;0.72;0.72;0.72;0.72
15;2;0.1;0.72;0.72;0.72;0.73;0.72;0.72;0.72
15;3;0.1;0.72;0.72;0.72;0.72;0.72;0.72;0.72
15;4;0.1;0.71;0.70;0.71;0.71;0.71;0.71;0.71
