k;n;test_size;accuracy;precision_macro;precision_micro;recall_macro;recall_micro;f1_macro;f1_micro
2;1;0.3;0.74;0.74;0.74;0.74;0.74;0.74;0.74
2;1.5;0.3;0.74;0.74;0.74;0.73;0.74;0.74;0.74
2;2;0.3;0.74;0.73;0.74;0.73;0.74;0.73;0.74
2;3;0.3;0.74;0.73;0.74;0.73;0.74;0.73;0.74
2;4;0.3;0.73;0.73;0.73;0.73;0.73;0.73;0.73
3;1;0.3;0.71;0.70;0.71;0.70;0.71;0.70;0.71
3;1.5;0.3;0.71;0.70;0.71;0.70;0.71;0.70;0.71
3;2;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
3;3;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
3;4;0.3;0.72;0.71;0.72;0.72;0.72;0.72;0.72
4;1;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
4;1.5;0.3;0.71;0.70;0.71;0.71;0.71;0.70;0.71
4;2;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
4;3;0.3;0.72;0.71;0.72;0.71;0.72;0.71;0.72
4;4;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
5;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
5;1.5;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
5;2;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
5;3;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
5;4;0.3;0.71;0.70;0.71;0.70;0.71;0.70;0.71
6;1;0.3;0.72;0.71;0.72;0.72;0.72;0.72;0.72
6;1.5;0.3;0.72;0.72;0.72;0.72;0.72;0.72;0.72
6;2;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
6;3;0.3;0.72;0.72;0.72;0.72;0.72;0.72;0.72
6;4;0.3;0.71;0.71;0.71;0.71;0.71;0.71;0.71
7;1;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
